time,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,1.5177637207748134,0.18406885951273197,0.6285631279959875,1.6430083162409492,0.2003879854154369,0.482706013374128,1.6980046674054226,0.22516975214176393,0.5126424689482021
0.0025,1.514444956835312,0.18404658543936256,0.632316814122686,1.6401164835699797,0.1996078557209068,0.4872924408073895,1.6954857169431354,0.22428864320761993,0.5142973497136668
0.005,1.5109673129042418,0.1840188762314474,0.6362209658376267,1.6372857516004224,0.1988021855373948,0.491992221268225,1.692874033748046,0.22341528730049973,0.5161265774336998
0.0075,1.507344973661296,0.18398490943388923,0.6402541453000207,1.6345542143063356,0.19797974878023403,0.49676340315160966,1.6901840066159868,0.2225651290234787,0.5181380271966126
0.01,1.5035918055176458,0.18394377232589204,0.644395427542472,1.6319573119251956,0.19715074822347964,0.5015627332581958,1.6874296280385692,0.22175351133811966,0.5203384565697042
0.0125,1.4997211399554347,0.18389452219356167,0.6486249242993551,1.629526628644438,0.19632682317208452,0.506346208218142,1.6846242417075281,0.2209953691150367,0.5227330917611648
0.015,1.4957456616704055,0.18383620906144046,0.65292408359549,1.6272885346924926,0.19552099913169868,0.5110696231002778,1.6817803291750542,0.22030509967334255,0.5253252188182569
0.0175,1.4916773516153587,0.18376784637270224,0.6572757632156642,1.6252623917764928,0.19474771086568185,0.5156891665726714,1.678909306471208,0.2196965963010755,0.5281158151968031
0.02,1.4875274366712763,0.18368838027191237,0.6616642628560266,1.6234584213874161,0.19402287968307305,0.5201620482470783,1.6760216468476696,0.2191830305061674,0.5311033531154549
0.0225,1.4833063457066153,0.18359664863421027,0.6660753727948008,1.62187594897332,0.19336376055073012,0.5244472699092114,1.6731274824731834,0.21877614563982856,0.5342837334991045
0.025,1.4790236921772113,0.1834913407470083,0.670496397872449,1.6205030367626758,0.19278816018064593,0.5285067757832123,1.670237212090487,0.21848556558739565,0.5376501839820864
0.0275,1.4746882822435776,0.18337099575279941,0.6749161669439658,1.6193178445259708,0.19231300178837676,0.5323069654172491,1.6673617081595253,0.21831861570264766,0.5411931555671012
0.03,1.4703081136557616,0.18323404039557373,0.6793250308886878,1.6182909135696637,0.19195273650513622,0.5358201866271787,1.6645122089221296,0.21828051164744727,0.5449003840712427
0.0325,1.465890318243949,0.18307886995295333,0.6837148330419104,1.6173874296622466,0.19171807328973506,0.5390258505858805,1.6617000872813477,0.21837452842405067,0.5487570954917683
0.035,1.4614410805814317,0.18290395384658423,0.6880788570833578,1.6165691740895105,0.1916151310900868,0.5419111005701733,1.658936598746019,0.218602018238624,0.5527462126128847
0.0375,1.456965641648217,0.18270788699873966,0.6924117555868387,1.6157961844631084,0.19164496076291043,0.5444710968233574,1.656232641483583,0.21896242960130277,0.5568485475582796
0.04,1.4524684119385962,0.18248936424960605,0.696709456887954,1.6150281490853122,0.19180338696421312,0.5467089753631361,1.6535985045152826,0.21945345240911002,0.5610430389270897
0.0425,1.4479531000846282,0.1822471511705261,0.7009690501049461,1.6142255598249469,0.19208112323582105,0.5486355337437806,1.6510436055619715,0.22007124233225894,0.565307032747399
0.045,1.4434227890309284,0.18198009507288604,0.7051886468704458,1.6133506487479947,0.19246411663731922,0.5502686919695199,1.648576268075998,0.22081063782073776,0.5696165878905183
0.0475,1.4388799771956782,0.18168715421061124,0.7093672332962891,1.6123681333195077,0.19293408133960663,0.5516327721223582,1.646203551532762,0.22166532880079667,0.573946810450149
0.05,1.4343266084401725,0.1813674233345267,0.7135045416307702,1.6112457939840341,0.1934691834640346,0.5527576359512655,1.6439310907136542,0.22262797604267148,0.5782722279562771
0.0525,1.4297640846405584,0.18102015276562897,0.7176009546900121,1.609954906457635,0.19404484200290206,0.5536777157835711,1.641762915391376,0.22369030316838312,0.5825671893459019
0.055,1.4251932694605227,0.1806447634693844,0.7216574213273326,1.6084705492290432,0.1946346127993135,0.5544309707517739,1.639701297572587,0.2248432058001276,0.5868062525096533
0.0575,1.4206145064680828,0.18024085359619743,0.7256753562475644,1.6067718046603503,0.19521112422515213,0.5550577975464088,1.6377467020409109,0.22607691050963197,0.590964579304386
0.06,1.4160276474752844,0.17980818468318097,0.7296565271102189,1.6048418697760594,0.19574703432368923,0.5555999227547348,1.6358978285696444,0.22738113871076007,0.5950183920221247
0.0625,1.4114320721699907,0.17934665278539635,0.7336029524137815,1.6026680903993924,0.19621597974606214,0.5560993023544571,1.6341516679075767,0.2287452122273372,0.5989454372689322
0.065,1.4068266992691911,0.17885626778570407,0.737516820314538,1.600241929792628,0.19659348679515887,0.5565970531131742,1.6325035570333155,0.23015811285295942,0.6027253599077597
0.0675,1.4022100039348067,0.1783371471791586,0.7414004159801614,1.5975588804317267,0.19685781430138977,0.5571324404936476,1.6309472729868522,0.2316085300450408,0.6063399819035631
0.07,1.397580045890106,0.17778949817166054,0.7452560495507883,1.5946183250355948,0.19699069691584437,0.5577419481627776,1.629475159663567,0.2330849169917871,0.6097735170243942
0.0725,1.3929344944842776,0.1772135739921719,0.749085991559195,1.591423350512712,0.19697795575961893,0.558458455313478,1.6280782540322059,0.23457558371218898,0.6130127277396148
0.075,1.3882706490428096,0.17660963487229103,0.752892420382,1.587980516114387,0.19680994127528723,0.5593105496830829,1.6267464180485154,0.23606882908678634,0.6160470279392296
0.0775,1.3835854739136422,0.1759779286073003,0.756677380431307,1.5842995748242659,0.19648177066963482,0.5603220063227564,1.625468489143701,0.23755307449554963,0.6188685419566088
