time,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,1.9630393106125699,0.7694534159885219,0.45782560006652867,2.088040867500084,0.8096629805004738,0.4074133076401338,2.147418715259144,0.6771620949991427,0.34557407317470884
0.0025,1.9582653062685809,0.767382107307001,0.46255473910674044,2.083666994070106,0.8081899797745036,0.4141488813760523,2.141951179726579,0.6778098646293009,0.3497381966012754
0.005,1.9532706022297748,0.7652148024837889,0.4674809937792086,2.0790768615352255,0.806631555343994,0.4211926916085674,2.136346581243164,0.6784502521430174,0.35419224821341166
0.0075,1.9480766863505388,0.7629609549536983,0.4725789515192553,2.0742876894220945,0.8049915771005193,0.428512035030798,2.1306499150300997,0.6790722145779768,0.35893605524394223
0.01,1.942704675948071,0.760630090968824,0.4778234204899528,2.06931641291987,0.8032741933132561,0.4360735537194401,2.1249049119970382,0.6796637490238309,0.3639696944356872
0.0125,1.9371749667037703,0.7582316690059246,0.4831898714008085,2.0641793962697457,0.8014838492013888,0.4438436216427718,2.1191530258680693,0.6802120505644084,0.36929337979052784
0.015,1.9315069709572683,0.7557749481472222,0.48865478703058174,2.058892226975742,0.7996252814741551,0.45178868389161136,2.1134326703872235,0.6807037551300303,0.37490734848095
0.0175,1.9257189264681343,0.7532688728520456,0.4941959365272594,2.0534696003836124,0.7977034839597774,0.4598755567557655,2.1077786445930045,0.6811251509136773,0.3808117718372848
0.02,1.919827766195387,0.750721984278969,0.4997925919809849,2.0479252880691345,0.7957236479404961,0.468071691781011,2.102221714901121,0.6814623457596586,0.3870066956511481
0.0225,1.9138490420377898,0.7481423522481558,0.5054256901530653,2.042272168802422,0.7936910828946679,0.4763454031458308,2.0967883483579706,0.6817014407026983,0.3934919914899467
0.025,1.907796887270768,0.7455375120687836,0.5110779318892248,2.036522299196994,0.7916111263529773,0.4846660666026226,2.0915005757422733,0.6818287264719735,0.400267307698519
0.0275,1.9016840049656365,0.7429144035313557,0.5167338159138708,2.03068700613239,0.789489048188642,0.4930043074609733,2.0863759672618944,0.6818309110659572,0.4073320167081189
0.03,1.8955217023001598,0.7402793254600082,0.5223796153562988,2.0247769900137946,0.7873299524121652,0.5013321753085203,2.0814277090163293,0.6816953787492372,0.414685164087652
0.0325,1.8893200008759796,0.7376379175997451,0.5280033105830351,2.0188024305449637,0.7851386810469382,0.5096232916426505,2.0766647628976314,0.6814104603890985,0.422325417936203
0.035,1.8830877668307717,0.7349951547923308,0.5335944997887704,2.012773078392139,0.7829197221500183,0.5178529763937363,2.0720920919898806,0.6809657084086402,0.43025100808074135
0.0375,1.876832785263161,0.7323553376620521,0.5391442910574339,2.006698320889479,0.7806771368040718,0.5259983701073384,2.067710930321166,0.6803521775200679,0.4384596541052056
0.04,1.8705618355044182,0.7297221043531642,0.5446451474272174,2.000587225174922,0.7784145175398922,0.5340385602165735,2.0635190715943095,0.6795626520043696,0.446948481469811
0.0425,1.8642808172223588,0.7270984745351426,0.5500907014984195,1.994448572589121,0.7761348889791606,0.5419546340390783,2.0595111570182896,0.6785917292412843,0.4557139128287904
0.045,1.857994860109385,0.7244868937642106,0.5554756007263428,1.9882909089717404,0.7738403975642455,0.5497294920429798,2.0556789649861287,0.6774358060031686,0.464751536704967
0.0475,1.85170838862325,0.7218892607651576,0.5607953718331378,1.9821226058897534,0.7715318550897747,0.5573474639481567,2.0520117159900173,0.6760931298465997,0.47405599349108213
0.05,1.8454251762450689,0.7193069417483052,0.5660462334555417,1.9759518890479266,0.7692084047739125,0.5647940198387564,2.048496383588497,0.6745639543700512,0.4836209052849169
0.0525,1.8391483886763234,0.7167407872704853,0.5712249036886778,1.9697868232081497,0.7668674878818369,0.5720557053000518,2.0451179910239974,0.6728506804486537,0.49343880636792203
0.055,1.8328805995914914,0.71419118244907,0.5763285752313925,1.963635280614658,0.7645051559617966,0.5791202001266065,2.041859883628016,0.6709578862350405,0.5035010139557449
0.0575,1.8266237892023707,0.7116581573242555,0.5813550996217679,1.9575048987415395,0.7621165537575291,0.5859763985069908,2.0387039739380253,0.6688922829662453,0.5137974471035007
0.06,1.820379352387294,0.7091415319466022,0.5863031561709637,1.9514030086252983,0.7596962296918891,0.592614458738545,2.0356309736075877,0.6666626973389732,0.5243164411440476
0.0625,1.8141481442631229,0.7066409849298768,0.5911721252697275,1.945336529622222,0.7572381970470505,0.5990258211440831,2.032620632108987,0.664280065287147,0.5350445673180345
0.065,1.8079305660669165,0.7041560015495251,0.5959617141903004,1.9393118548816142,0.754735924579937,0.6052032275447076,2.0296519655029064,0.6617573529718423,0.5459664405188549
0.0675,1.8017266509712606,0.7016858050347934,0.6006716736565179,1.9333347767565632,0.7521823599084375,0.6111407529410994,2.0267034478150032,0.6591094227290698,0.5570645071385332
0.07,1.7955361120914475,0.6992293274548196,0.6053017395014499,1.9274104674608332,0.7495700011320254,0.616833834414053,2.023753176735769,0.6563528786829113,0.5683188048857368
0.0725,1.7893583682533798,0.6967852010506835,0.6098516660529818,1.9215434051168234,0.7468909878094983,0.6222792968799502,2.0207790371601133,0.6535058731329203,0.5797067014121386
0.075,1.7831925916643396,0.6943517859032562,0.6143212453653271,1.915737180366564,0.7441371499402171,0.6274753725559451,2.0177588668987996,0.6505878938382189,0.5912026465709826
0.0775,1.777037783888618,0.6919272349739657,0.6187103029160184,1.909994314993309,0.7413000321009093,0.6324216888809272,2.014670618636758,0.6476195249146391,0.602777964592493
