time,hipX,hipY,hipZ,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,-0.41559626862156945,-0.8565862832081675,-0.8652601170394909,1.4914621138572306,0.3596067589508159,0.4404110637239063,1.5850088242518687,0.3856142930132589,0.39162302305859165,1.6412818108435532,0.4686976738863722,0.41677779216586214
0.0025,-0.4057468131774371,-0.8455247838317967,-0.8577005446873486,1.4841053160882518,0.35966013468790464,0.44486371699056165,1.5776774736931312,0.38540119283122337,0.39400487817504976,1.6350859471701806,0.46806771435752154,0.4149125723373762
0.005,-0.3949121198511958,-0.8321348216567077,-0.8503108403173829,1.4763969466703535,0.3597325836885067,0.4495011846736656,1.570033980929459,0.3851471578390738,0.3965352670355993,1.6286539168335255,0.46737406582585844,0.4129939966407297
0.0075,-0.3829960931990158,-0.816031619557282,-0.8432068450868627,1.4683678004357459,0.3598265086756139,0.45429859719204785,1.5621159458769875,0.3848481081259719,0.3992091340349266,1.6220218575166883,0.4666124992573461,0.4110383187717205
0.01,-0.3698738898094672,-0.7967664482893084,-0.8364999139686663,1.4600484702306786,0.3599437446425739,0.4592309543870565,1.5539603908637265,0.3845005153572141,0.4020208324293396,1.615224353319626,0.46577737426695964,0.40906230478672245
0.0125,-0.35538173195637196,-0.7738222206859359,-0.8302780246036077,1.4514690423445828,0.36008535445287326,0.46427360179103305,1.545603102581447,0.3841015157111047,0.40496408511012066,1.6082935833257337,0.46486149650397124,0.4070830778969841
0.015,-0.3393111846853618,-0.746620503620167,-0.8245804369814609,1.4426588142455392,0.36025147013343395,0.4694026926504998,1.5370780879680401,0.3836489885877237,0.40803198110267636,1.601258731168669,0.46385609751708173,0.40511801400315955
0.0175,-0.32141609695557827,-0.7145413719349105,-0.8193804214545954,1.4336458685795186,0.36044128022339594,0.4745955002861817,1.5284171424469566,0.38314161750470266,0.411216965043238,1.5941456559268525,0.4627510803030053,0.40318464802224663
0.02,-0.30143022093434596,-0.6769528561440854,-0.8145760330431402,1.4244567451536319,0.36065310346007784,0.47983063504980134,1.5196495641056844,0.38257883580137986,0.4145109132207281,1.5869767622969781,0.46153554541170894,0.40130058442790745
0.0225,-0.2790962896615931,-0.6332528951124989,-0.8099891405199762,1.4151164185066076,0.36088437363228987,0.48508834080579766,1.5108020091453855,0.38196063816555564,0.417905349791111,1.5797709960967927,0.46019828578869104,0.3994834416082766
0.025,-0.25421073291269003,-0.5829331909588695,-0.8053769413502717,1.4056484537051854,0.36113154602483527,0.4903507948951118,1.501898425480156,0.3812873585124033,0.42139167038708286,1.5725439519736366,0.4587280881736601,0.39775084901793134
0.0275,-0.22668266012002466,-0.5256759452599844,-0.8004496281880163,1.3960751528066024,0.36139007322352423,0.49560226474625885,1.4929600324325436,0.38055948290671904,0.42496129554835405,1.5653080868077696,0.45711403387805527,0.396120453355694
0.03,-0.19660166565958498,-0.46148622550021906,-0.7948883486118101,1.38641764414819,0.36165446886636327,0.5008291513981579,1.4840053701627576,0.3797775348805917,0.42860580125617764,1.5580729901534183,0.45534592148678316,0.3946098648388093
0.0325,-0.16430275530520974,-0.390842397794375,-0.7883643810217202,1.376695972004748,0.3619183930023407,0.5060199610637078,1.475050446126806,0.3789420131734899,0.4323170387901061,1.5508456828723567,0.453414741777632,0.3932365161882703
