time,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,0.8649624695547659,-0.012280214752415055,0.43765927097115653,0.9693958987688359,0.011014215605189065,0.44218380335371854,1.1536747097237114,0.03509367563577955,0.48895678781916957
0.0025,0.8594410359155504,-0.013022993748836207,0.4434307355525259,0.964169787234635,0.00960198662886796,0.4496513377449232,1.1497936439515857,0.030331559426939395,0.49282676876760045
0.005,0.8536595878359574,-0.01380266070039417,0.4494375390382798,0.9586477362052703,0.008147589771104167,0.45746367096839885,1.145599079062466,0.025338176974646957,0.4969327989603373
0.0075,0.8476422633682212,-0.01461672106768177,0.4556472277759027,0.9528441418247516,0.006662870841418731,0.46558583485483857,1.1410830493434618,0.020134455470256378,0.5012706694534806
0.01,0.8414128165740078,-0.015462444231690171,0.4620272651575477,0.9467732181462292,0.005159642495807982,0.47398143207840815,1.1362365195685735,0.014741364412194764,0.5058380543102565
0.0125,0.8349942103906554,-0.016336825465049745,0.4685456132107855,0.9404488365904635,0.00364944646231282,0.48261309248409834,1.1310495939859007,0.009179660643943507,0.5106347497279127
0.015,0.8284083254788334,-0.017236634609992283,0.47517123929609595,0.9338844424048092,0.002143435269649854,0.49144302592622047,1.1255118249824414,0.0034698029988242006,0.5156627587465475
0.0175,0.8216757763869299,-0.018158584091603428,0.4818744997812698,0.9270930932314764,0.0006523767091393489,0.5004335671433577,1.1196126122609094,-0.0023680318090491394,0.5209262561039724
0.02,0.8148158063746658,-0.019099563585662543,0.48862743474264203,0.920087604486334,-0.000813301446139735,0.5095477012513939,1.113341683856615,-0.008313903585182204,0.5264314234970583
0.0225,0.8078462300926302,-0.02005684033504125,0.49540404013007056,0.9128806891195277,-0.0022435413804021594,0.5187495520820313,1.1066896153008612,-0.01434804581638913,0.5321861272078786
0.025,0.800783404409085,-0.02102818924760087,0.5021805343761008,0.9054850158810492,-0.0036287841035596703,0.5280047820327527,1.0996483070019403,-0.02045080386071549,0.538199439214506
