time,hipX,hipY,hipZ,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,-0.04379032520141711,0.5222041045777034,0.16354544918418004,0.7558952197877857,-0.04289468621034262,0.4509954055597339,0.8686325235635158,-0.06310293044635337,0.4540276578736375,0.9907388601018103,-0.19118059509635715,0.4826031684569699
0.0025,-0.042572774572138566,0.5131195820558199,0.16194976999516772,0.750668005577896,-0.04346412920806993,0.45604127531814675,0.8639037076291639,-0.06137762627700777,0.46065379726391126,0.990527887953053,-0.1848927141498796,0.4826735210369258
0.005,-0.0414208955437997,0.5037692637971724,0.16062810877578532,0.7451985227805105,-0.04404467425237601,0.4613017853650525,0.858907306251972,-0.0596077111012671,0.46756006704514885,0.9901256234267,-0.17816177046017287,0.4828363546539332
0.0075,-0.04035300658139668,0.49423296053436855,0.15963972403339302,0.7395103320529339,-0.04463134454518734,0.466750077656893,0.8536566143048522,-0.05780643589909103,0.4747105459962933,0.9894997231450332,-0.1709936746737095,0.48311095407782984
0.01,-0.03938371754218611,0.4845901071885209,0.15903566136724803,0.7336269567587361,-0.04521947564522364,0.47235911784632933,0.8481653712976059,-0.05598632726717847,0.4820687243951968,0.9886170860129876,-0.16339714533185687,0.4835188322078873
0.0125,-0.038523781134567364,0.47491814423914325,0.1588573241403296,0.7275714630440849,-0.045804797196591605,0.4781020708482322,0.8424478491645097,-0.05415881873072708,0.4895981586973586,0.9874447051085883,-0.1553842161871969,0.4840836268713788
0.015,-0.03777984815444675,0.4652916748806529,0.15913400270451716,0.7213660791988727,-0.046383604140244956,0.48395262433067976,0.8365189731312581,-0.05233386722107371,0.4972630542574376,0.9859505815623508,-0.146970620955317,0.48483083951554456
0.0175,-0.037154458047364905,0.45578106830517345,0.15988120738550768,0.7150319278577211,-0.04695289993149695,0.48988530982237427,0.8303942871231512,-0.05051969077414099,0.5050286782235603,0.9841045962059031,-0.13817608514818855,0.4857874482564976
0.02,-0.036646249846863634,0.44645027533806586,0.16110006812778813,0.7085888771290536,-0.047510479860042545,0.4958758356121813,0.8240897273434602,-0.0487227230180818,0.5128616283782046,0.981879360157425,-0.12902436365995312,0.4869814205107817
0.0225,-0.03625032553419339,0.43735510210445483,0.16277732811203297,0.7020554415239997,-0.0480549864377149,0.5019013730752491,0.8176213643183741,-0.04694770673930195,0.5207300472721134,0.979251062896026,-0.11954297541243986,0.4884411170487082
0.025,-0.03595888818884443,0.4285427296894036,0.1648863854332649,0.6954486768833453,-0.04858591582000881,0.5079407449363565,0.8110052144531738,-0.0451978568250568,0.5286038286835291,0.9762002104931709,-0.10976285133907934,0.49019458828812307
0.0275,-0.03576204113575264,0.4200514027472458,0.16738949154455626,0.6887841094886028,-0.049103556789651316,0.5139745621599553,0.8042571009177588,-0.04347506664102792,0.5364548160730096,0.9727121658683063,-0.09971800679583487,0.4922688413392881
0.03,-0.035648731527843175,0.41190932673755126,0.17024161220344652,0.6820757734109589,-0.04960880040050313,0.5199853609947676,0.7973925831314633,-0.04178010965413451,0.5442570239517683,0.9687775101882417,-0.08944513680321199,0.494689182153152
0.0325,-0.035607923120404665,0.40413341938719066,0.17339631439860567,0.6753363527098633,-0.050102780851566026,0.5259577156623942,0.7904269887204438,-0.04011284972455248,0.5519868833742331,0.9643922199490151,-0.07898309194603648,0.4974786566589112
0.035,-0.03562952314462089,0.39672889872992007,0.17681107938300478,0.668577332217184,-0.050586546075373016,0.5318782966439756,0.7833754706513456,-0.038472527743322944,0.5596234116106779,0.9595576072077112,-0.06837231198041847,0.5006575612282197
0.0375,-0.035704363836637235,0.38969015980631505,0.18044803694562705,0.6618090470216371,-0.05106104892521667,0.5377358646769376,0.7762529696770059,-0.036858131091185894,0.5671482660679642,0.9542800126440941,-0.05765430992313419,0.5042430304514005
0.04,-0.035823534640783396,0.3830023978810085,0.18427109762672214,0.6550406503477214,-0.051527376058288145,0.5435212058392428,0.7690740752444213,-0.035268795464360514,0.5745457712853903,0.9485702832273015,-0.04687127878947178,0.5082487355982405
0.0425,-0.03597797772300102,0.3766430446857398,0.1882441636883394,0.6482801023904129,-0.05198688529443871,0.5492270328804676,0.761852874694564,-0.03370418089844092,0.5818029591391789,0.9424431097638396,-0.0360658010302077,0.5126846934854132
0.045,-0.03615845771839892,0.3705831492423436,0.1923310851975076,0.6415341869920652,-0.05244120605195144,0.554847860173907,0.7546028499976731,-0.03216476859274359,0.5889095636212127,0.9359163461903878,-0.025280533493141112,0.5175571624644931
0.0475,-0.036355573546968875,0.36478907415425804,0.19649556647006367,0.6348085194863339,-0.0528922276070195,0.5603798502448457,0.7473368240391961,-0.030652047106840698,0.595857922837357,0.9290103853814663,-0.01455780397157473,0.5228686116541398
0.05,-0.036559860581185405,0.3592240216589978,0.20070150009178223,0.6281075660280645,-0.05334206990180428,0.5658206520078111,0.7400669388757499,-0.029168612612785614,0.602642789871504,0.9217475677815515,-0.00393921775166733,0.5286177529777746
