time,hipX,hipY,hipZ,baseX,baseY,baseZ,midX,midY,midZ,tipX,tipY,tipZ
0.0,-0.028405099672466946,0.30952591503195137,0.18158335203169254,0.7263182770095171,-0.06810021424916002,0.5151497188282046,0.8852626090385513,-0.04058863522749652,0.46462900314733113,0.9355152352874887,-0.13492445855583007,0.4211786312483808
0.0025,-0.02718176383573737,0.30322074751625794,0.1774549850038442,0.7215762191633698,-0.07046891644672726,0.5196744150757543,0.8808488257336478,-0.04128241066469397,0.4690413548776924,0.9380253297688848,-0.12980252774800613,0.4251098820822794
0.005,-0.02597152291332256,0.2968391979201314,0.17327528594873234,0.7166197549885402,-0.07294445392593704,0.5243891856468861,0.8762742308411337,-0.042077580946707,0.4736537257104317,0.9403439047283971,-0.12432906583945084,0.4293834890775492
0.0075,-0.02478878532443948,0.2904549630683564,0.16909229197170617,0.7114712824556112,-0.07551538329588856,0.5292701269270648,0.871565002229545,-0.0429832976284756,0.4784450305996809,0.9424013259416723,-0.11851537841053289,0.4340069145380911
0.01,-0.023646755150924917,0.28414144800010543,0.16495484643493044,0.7061529401072159,-0.07817022225057285,0.5342934798374479,0.866746060249664,-0.04400776197491782,0.48339441890205415,0.9441266468528527,-0.11237774399213235,0.4389853256635731
0.0125,-0.022557068018589484,0.27796965311093697,0.16091114182349622,0.7006862321447532,-0.08089762702693021,0.5394360459804777,0.8618404122102846,-0.04515788202660761,0.48848161969893783,0.945448945583161,-0.10593813036879217,0.4443208286449701
0.015,-0.02152953890121861,0.2720060533772451,0.1570074202368562,0.695091738574743,-0.08368653617955946,0.5446755448471486,0.8568686266976302,-0.04643909935423267,0.4936871676313557,0.9462986989634679,-0.09922468242550836,0.4500118718955976
0.0175,-0.02057206104465707,0.2663105166339464,0.1532871853365005,0.6893889018536951,-0.08652628012586921,0.5499909173532287,0.8518484716945504,-0.04785532982429649,0.4989925424838075,0.9466091667630966,-0.09227201808205308,0.4560528021489009
0.02,-0.019690615413460212,0.26093431866843686,0.14979076702456892,0.6835958738305339,-0.08940666200046617,0.5553625778982532,0.8467947182708669,-0.04940898785517054,0.5043802367042607,0.9463176977259039,-0.08512133981258622,0.4624335227520739
0.0225,-0.018889350278588204,0.25591852714578794,0.14655494729357998,0.6777293984364098,-0.09231801508252971,0.5607726039666209,0.8417190807161256,-0.05110106248737507,0.5098337531786754,0.9453669907227833,-0.0778202859186017,0.4691392493711939
