time,midX,midY,midZ,tipX,tipY,tipZ
0.0,0.9821822832899219,0.013866286498518034,0.4427377678386246,1.148657002935695,0.0349852335195199,0.48363487468656396
0.0025,0.9767605538674824,0.012302998036420163,0.45011207058543823,1.1442524732815023,0.03078892235227485,0.4880217406729291
0.005,0.9710876915474436,0.01066922321857995,0.4572913754500793,1.1394737435143518,0.02657223553213333,0.4923006207332771
0.0075,0.9651952226294233,0.008975780565204138,0.46428499518647104,1.1343600261684845,0.022342966275366638,0.49648752835899107
0.01,0.9591094013339972,0.0072317999102125795,0.4711047432690599,1.1289462350141126,0.01810725455441876,0.5005935541087847
0.0125,0.9528521547326404,0.005444893440233616,0.47776391387931316,1.1232630231533092,0.013869945909917707,0.5046259683045248
0.015,0.9464420202687939,0.003621382653550751,0.4842764795601815,1.117337148922574,0.009634879796320592,0.5085892006639212
0.0175,0.9398949798389535,0.0017665683440572302,0.4906565055764926,1.1111919900080565,0.005405087494168299,0.5124856383688643
0.02,0.9332251505558311,-0.00011499667960749096,0.4969177194288532,1.1048480740929374,0.001182917595686649,0.5163162525707433
0.0225,0.9264453290230286,-0.0020192831771501454,0.5030731766444355,1.0983235570286918,-0.0030298781979886885,0.520081086224496
0.025,0.9195673867497505,-0.003942625576885506,0.5091349893187244,1.0916346106258359,-0.0072320758865220755,0.5237796312462002
0.0275,0.912602516410056,-0.00588158955059942,0.5151141139699241,1.0847957013060399,-0.01142293164830824,0.527411111818183
0.03,0.905561383735335,-0.007832852885265227,0.5210202121878028,1.0778197999989683,-0.015602150816028303,0.5309746880129942
0.0325,0.8984542742566521,-0.009793181311625456,0.5268616069025689,1.0707186079196074,-0.019769830488314266,0.5344695876997131
0.035,0.8912912205815037,-0.011759527879322846,0.5326453165428026,1.0635027845111646,-0.0239263589539722,0.5378951759168941
0.0375,0.884082014330252,-0.013729138168235145,0.5383771117381898,1.0561820714934507,-0.0280723151359011,0.5412509857515003
0.04,0.8768361093805817,-0.015699581257912824,0.5440615770112109,1.0487653055235904,-0.032208405936053466,0.5445367341553888
0.0425,0.8695624996216953,-0.01766872114631062,0.549702187157922,1.0412603963498035,-0.036335425770385094,0.5477523280430322
0.045,0.8622696105587427,-0.01963468463739476,0.555301401852546,1.0336743112935771,-0.040454218267134384,0.5508978648209731
0.0475,0.854965200333869,-0.02159584773957526,0.5608607764463494,1.026013065143176,-0.044565624520676944,0.5539736252392196
0.05,0.8476562637812466,-0.02355082993260358,0.5663810921596184,1.0182817068873107,-0.04867043136311276,0.5569800633979305
0.0525,0.8403489549156857,-0.025498471647029976,0.5718624876236665,1.0104843147152456,-0.05276932298831034,0.5599177998528404
0.055,0.8330485458596433,-0.02743780006950704,0.5773045730670333,1.0026240167691585,-0.05686284315321023,0.562787615455852
0.0575,0.8257594144011573,-0.02936799664217389,0.5827065450305501,0.9947030315567135,-0.06095136842845869,0.5655904589723231
0.06,0.8184850503461024,-0.03128837015120328,0.588067272063344,0.9867227250194481,-0.06503506957020616,0.5683274480576586
0.0625,0.811228085205103,-0.03319834078474529,0.5933853940484651,0.978683681739412,-0.06911390255695746,0.5709998816605034
0.065,0.8039903448537955,-0.035097415860240136,0.59865938961403,0.9705857975464218,-0.07318757499693734,0.5736092304922514
0.0675,0.7967729182656303,-0.0369851873582008,0.6038876660648227,0.9624283781759906,-0.07725555100130382,0.5761571419643712
0.07,0.7895762292402545,-0.03886132572709628,0.6090686097783682,0.9542102431453007,-0.0813170320456845,0.5786454275081109
0.0725,0.7824001040207694,-0.04072558372204408,0.6142006423558319,0.945929820665345,-0.08537095978090743,0.5810760635109028
0.075,0.7752438343018947,-0.042577799343224934,0.619282261802324,0.9375852372758928,-0.08941600807986466,0.5834511770333226
0.0775,0.768106242536504,-0.04441790809568192,0.6243120870290542,0.9291744075366709,-0.093450587166026,0.5857730398222267
0.08,0.7609857512101952,-0.04624594628661165,0.6292888821670043,0.9206951219678271,-0.09747285003763524,0.5880440427658007
0.0825,0.75388044608046,-0.04806205314138576,0.6342115858755888,0.9121451253642939,-0.10148070869337504,0.5902666876148172
0.085,0.7467881224206445,-0.049866479592823115,0.6390793285579874,0.903522179141417,-0.10547184267663874,0.5924435631722542
0.0875,0.7397063252001653,-0.051659595361890694,0.6438914468721277,0.89482412069812,-0.10944370714753401,0.5945773363362434
0.09,0.7326324021427768,-0.05344189115736241,0.6486474813278532,0.88604892526173,-0.11339356214592043,0.596670725631505
0.0925,0.7255635715217712,-0.05521396350180315,0.6533471359754018,0.8771947875710104,-0.11731851535157842,0.5987264941637758
0.095,0.7184969901305639,-0.05697649837769582,0.657990201241575,0.8682602078778736,-0.12121558310689037,0.6007474361434973
0.0975,0.7114298062897648,-0.058730261153790625,0.6625764917404421,0.8592440654075526,-0.12508174711973216,0.6027363658672675
0.1,0.7043592046582713,-0.06047609336239017,0.6671058024730434,0.850145674252333,-0.12891400676756948,0.6046960849204753
0.1025,0.6972824722547605,-0.06221491830693134,0.6715779029754814,0.840964834047821,-0.13270943596124546,0.6066293276008041
0.105,0.6901970948103774,-0.06394774304171873,0.6759925513867545,0.8317018708771082,-0.13646525523461966,0.6085386832352299
0.1075,0.6831008450697887,-0.06567563902542324,0.6803495087021365,0.8223576429385453,-0.14017890114737924,0.6104265244017374
0.11,0.6759918211646889,-0.06739970881148033,0.6846485422353445,0.812933501636944,-0.14384807405216943,0.6122949718023144
0.1125,0.6688684400651573,-0.0691210640324384,0.6888894256508477,0.8034312291027177,-0.14747075399510268,0.6141458811661641
0.115,0.6617294170621189,-0.07084081738574048,0.6930719452797227,0.7938529716960671,-0.15104520081162878,0.6159808385091643
0.1175,0.6545737643109547,-0.07256008014199525,0.6971959109898541,0.7842011815065387,-0.15456995754093839,0.6178011487371793
0.12,0.6474008208496651,-0.07427996166796516,0.7012611574192095,0.7744785737471042,-0.1580438657506515,0.61960781306449
0.1225,0.6402102525375136,-0.07600156430629604,0.7052675261942715,0.7646880761862994,-0.16146607140688596,0.6214015319018203
0.125,0.6330019757120019,-0.07772596538553808,0.709214815919196,0.754832771115399,-0.16483600002900806,0.6231827596335562
0.1275,0.6257760833103247,-0.0794541985546645,0.7131027203785851,0.7449158545748621,-0.1681533395561861,0.624951754180974
0.13,0.6185328396857113,-0.08118723882131139,0.7169308054662104,0.7349406116098633,-0.1714180458012407,0.6267085927891107
0.1325,0.6112727035141956,-0.08292599016581066,0.7206985104337928,0.7249103773124029,-0.17463035234247493,0.6284531603913659
0.135,0.6039963370405934,-0.08467127436886712,0.7244051802875803,0.7148284818785701,-0.17779075423174337,0.6301851521957378
0.1375,0.5967046036082014,-0.0864238364383394,0.728050103416011,0.7046982009431229,-0.180899977947948,0.6319040833576346
0.14,0.5893985534888859,-0.088184353907926,0.7316325471973152,0.69452270387077,-0.18395894155074072,0.6336093003561588
0.1425,0.5820794101963999,-0.08995344223956368,0.7351518022351723,0.6843050075339705,-0.18696870680427743,0.6353000058399051
0.145,0.574748585121326,-0.09173165798520412,0.7386072146704448,0.6740479297977942,-0.18993045144754128,0.6369752676148477
0.1475,0.5674076900343856,-0.09351950043607436,0.7419982064953323,0.6637540621339664,-0.19284543538060323,0.6386340406369905
0.15,0.5600585012072935,-0.09531741095057279,0.7453242731989419,0.6534257426927225,-0.19571496129148733,0.6402752101098711
0.1525,0.5527028987070854,-0.09712576773934306,0.7485849794317624,0.6430650509120202,-0.19854031998712884,0.6418976531262457
0.155,0.5453428164270411,-0.09894488361314648,0.7517799622051922,0.6326737981526138,-0.20132274714508788,0.643500286169339
