time,midX,midY,midZ,tipX,tipY,tipZ
0.0,1.8901521694109464,0.09561267617839947,0.4934829913962155,2.002227086453699,0.18806307819906523,0.5668736994202621
0.0025,1.8828461303768569,0.09524662842029336,0.49634248573472,1.9969754085474583,0.187027236728789,0.5673698585636049
0.005,1.875288875491946,0.09435952811634699,0.49931196913591674,1.9908351704878597,0.1860853051093196,0.5680832962711854
0.0075,1.867500902834492,0.09319048527190252,0.5024057065461258,1.9841400584689786,0.1851864172343372,0.5689347660872808
0.01,1.859498323399649,0.09187232648589713,0.5056117946040417,1.9770539491296157,0.18429553175603375,0.569897764107687
0.0125,1.8512997519107317,0.09048123256250966,0.5089114309768555,1.9696663548494082,0.1833943102293379,0.5709643696295017
0.015,1.8429267303128885,0.08906280661469489,0.5122858741583636,1.9620334351982172,0.18247655592643625,0.5721317109314908
0.0175,1.8344024020389444,0.08764570121170452,0.515718380643779,1.9541955037932892,0.18154364157840175,0.5733972281977897
0.02,1.825750117143554,0.08624879547735269,0.5191943981672683,1.946184532214116,0.18060115592193576,0.5747573681503466
0.0225,1.8169923997092525,0.08488502219475008,0.5227013025049819,1.9380274088299667,0.17965672097530225,0.5762074850037394
0.025,1.8081502620032526,0.08356344704991284,0.5262281141932945,1.9297473738328206,0.17871864510488925,0.5777420983725363
0.0275,1.799242794223672,0.08229042414758107,0.5297652929444394,1.9213646665950879,0.17779512615507354,0.5793552119920955
0.03,1.7902869742210876,0.0810702557738815,0.5333046147402427,1.9128968531065549,0.17689381214116806,0.5810405920844842
0.0325,1.78129763001579,0.07990559030877462,0.5368390957890545,1.9043590285104055,0.17602157820178596,0.5827919951545283
0.035,1.7722874993806614,0.07879768458945512,0.5403629215146958,1.8957639730145035,0.17518442635514792,0.5846033595656257
0.0375,1.7632673409248603,0.07774659564777932,0.5438713818910872,1.8871223006682114,0.1743874540814916,0.5864689559577105
0.04,1.7542460644254538,0.07675133278047104,0.5473608154212596,1.878442608211823,0.17363485940205375,0.5883835002319713
0.0425,1.7452308685411835,0.07580998691691208,0.5508285493792218,1.8697316238710935,0.17292996464978486,0.5903422398629214
0.045,1.7362273815580167,0.07491985293303983,0.5542728363581368,1.8609943663151043,0.1722752504111198,0.5923410118424332
0.0475,1.7272398036785053,0.07407755203929514,0.5576927908155862,1.8522343174244504,0.17167239625818467,0.5943762721593578
0.05,1.7182710398977072,0.07327915500562093,0.5610883273626418,1.8434535985820446,0.17112232125998444,0.5964451047434615
0.0525,1.7093228073823286,0.07252031072757183,0.5644600954655883,1.8346531370927988,0.17062521637147143,0.5985452217153151
0.055,1.7003957349651415,0.07179637265165327,0.5678093928041538,1.8258328195740126,0.17018057840978656,0.600674963700787
0.0575,1.691489475767829,0.0711025080088023,0.5711380627824013,1.816991638009016,0.16978725617214788,0.6028332933529029
0.06,1.6826028204165175,0.07043379378965713,0.5744483906870914,1.8081278303143746,0.16944350085859095,0.6050197773821734
0.0625,1.6737338088775073,0.06978530857770121,0.577742994536447,1.7992390211477582,0.16914701792078118,0.6072345576963406
0.065,1.6648798437673622,0.06915222115921399,0.5810247268840028,1.7903223709386058,0.16889502256864924,0.6094783001584302
0.0675,1.6560377969057212,0.06852987485362595,0.584296599820067,1.7813747262654696,0.1686842971032509,0.6117521225924833
0.07,1.6472041103569894,0.06791386431480746,0.5875617144000546,1.7723927592503732,0.16851125149484975,0.6140575210303726
0.0725,1.638374897291279,0.0673001038174715,0.5908231756661912,1.7633730931097615,0.16837198912909165,0.6163963047252728
0.075,1.629546050961461,0.06668488674415242,0.5940839932877237,1.7543124217212938,0.1682623812637972,0.6187705325900422
0.0775,1.6207133561517195,0.0660649326381234,0.5973469966010742,1.7452076242145707,0.1681781488731058,0.6211824361362724
0.08,1.6118725961272713,0.06543741419044483,0.6006147752246511,1.7360558624893778,0.1681149489979477,0.623634334075454
0.0825,1.603019670950483,0.0647999585489505,0.6038896268107105,1.7268546614540743,0.1680684691376128,0.6261285507048242
0.085,1.5941507186115573,0.06415063211156696,0.6071735144055553,1.7176019768737572,0.16803452046722817,0.6286673382110489
0.0875,1.5852622040896045,0.06348792323716675,0.6104680444560969,1.708296242046952,0.1680091125984269,0.6312528073032162
0.09,1.5763509649476637,0.06281072572611789,0.6137744658745301,1.6989363851572512,0.16798850743626167,0.6338868718659982
0.0925,1.5674142302147267,0.06211831581372505,0.6170936820055224,1.689521818396454,0.16796926150708158,0.6365712098891431
0.095,1.5584496320995824,0.06141031722481556,0.6204262634999527,1.6800524058558952,0.1679482633913318,0.6393072414826977
0.0975,1.5494552125961985,0.060686660259966614,0.6237724601578343,1.670528420447062,0.1679227630092982,0.6420961196184826
0.1,1.540429415856801,0.059947545709817744,0.6271322170360978,1.660950497912147,0.1678903864018587,0.6449387274110895
0.1025,1.5313710579601096,0.059193415913443896,0.6305052022699678,1.651319586879481,0.16784913309554858,0.6478356789487741
0.105,1.5222792716012545,0.05842492762205494,0.6338908460419974,1.6416368877982173,0.16779735667754248,0.6507873281159188
0.1075,1.5131534383679988,0.05764292280583426,0.6372883756275433,1.6319037822397526,0.16773373524107366,0.653793790977743
0.11,1.5039931291057282,0.05684839748360569,0.6406968309496331,1.622121763692579,0.16765724096120016,0.6568549801628832
0.1125,1.494798061916806,0.056042473428014924,0.6441150572831174,1.612292381812446,0.1675671124205123,0.6599706423573931
0.115,1.4855680767116417,0.05522638077493872,0.6475416886999281,1.6024172104276615,0.1674628301869781,0.6631403829205311
